Person ID,Gender,Weight
2804,Male,156.445474818204
2013,Male,219.87729779787
5116,Female,142.421776480813
4251,Male,179.697918533356
8069,Female,121.033728088398
3640,Male,196.605301582096
6113,Female,130.526883320967
1030,Male,232.250643278525
5474,Female,132.004280081081
847,Male,203.734480758039
2194,Male,216.731633459018
6219,Female,138.335712739484
8704,Female,131.526373255081
1548,Male,172.501320855784
1797,Male,170.053832577434
6448,Female,127.743307082642
5543,Female,151.493586981401
5582,Female,124.920283434545
7533,Female,141.477629830916
1761,Male,151.350571899256
4612,Male,156.820414854543
2448,Male,232.23264687361
2836,Male,190.799189796735
1372,Male,155.729380273101
9203,Female,131.593042914664
216,Male,177.24014549544
4306,Male,183.845507094266
8377,Female,123.586079174951
8720,Female,156.537008352962
6496,Female,125.821691740655
9945,Female,123.958660959029
6035,Female,124.03168810934
114,Male,164.014427741951
8829,Female,148.44682298188
1519,Male,204.217022100385
1447,Male,166.490219384593
7812,Female,112.029945790866
1077,Male,178.382812540571
5947,Female,158.598827675123
7443,Female,132.213416243717
3848,Male,204.038125039021
4350,Male,161.697693477066
3289,Male,204.635439705712
6138,Female,148.390479746549
8030,Female,151.657329464398
1488,Male,172.567381412296
4082,Male,196.348029154279
7774,Female,155.66874349901
946,Male,188.459689131546
5254,Female,143.663382287202
7155,Female,143.908906921624
1838,Male,209.900130709698
9630,Female,164.487254477317
4636,Male,225.207435378074
1101,Male,196.351299762106
1475,Male,196.218174027164
2027,Male,202.988055431583
5204,Female,150.582520877049
8833,Female,124.467490920429
6932,Female,135.610834999441
3653,Male,206.710916509747
1076,Male,197.216551955857
4209,Male,205.012924750896
9091,Female,156.90163744997
2697,Male,205.169235058932
9053,Female,151.149081221018
3710,Male,192.793460165216
5436,Female,134.765898952825
8027,Female,100.883857637275
9904,Female,101.202550876713
4709,Male,203.531508961978
5583,Female,174.727654536209
7915,Female,110.614614971048
7375,Female,151.91137620845
3775,Male,202.441043226235
2309,Male,205.353927314775
2479,Male,199.376234589203
5360,Female,68.9825300912419
4152,Male,207.957832473152
1085,Male,166.276987710018
5990,Female,135.856007822104
2801,Male,218.533015522811
3130,Male,186.129921985574
2016,Male,166.251965359255
4759,Male,182.35904328602
8963,Female,161.746796970365
5304,Female,142.875141463859
5175,Female,163.597121888682
1607,Male,164.157890079859
3316,Male,190.764014395057
2483,Male,164.903328343631
6565,Female,120.088892092051
911,Male,161.223964804125
4826,Male,188.875893529098
5602,Female,138.87640638951
8816,Female,138.79412120669
4010,Male,165.848029266853
3623,Male,191.881403466871
2892,Male,167.444140149937
4854,Male,165.546212938478
6826,Female,133.879482558839
6008,Female,147.026850497157
8057,Female,121.092797347421
4265,Male,177.16161181273
4890,Male,169.405618895853
9459,Female,147.370478239625
1132,Male,189.21364600271
9021,Female,139.416850573026
3387,Male,169.055490815102
3847,Male,148.916937318908
1280,Male,226.225699981621
4039,Male,199.972455176131
1107,Male,192.260745340535
4559,Male,166.923412925573
6223,Female,166.348793459138
7095,Female,174.580379341546
