Person ID,Gender,Height
8872,Female,61.8646667506084
7456,Female,62.8197521013342
4841,Male,70.6950010426886
17,Male,63.974325721061
7334,Female,66.1381724292227
9260,Female,67.600646082386
9646,Female,67.1527557768399
1004,Male,68.2387453921122
6136,Female,65.3833115263583
1127,Male,70.5660638405893
11,Male,71.6408051192206
1961,Male,71.8732522912439
5351,Female,65.9426580836807
5971,Female,62.6238524863747
7349,Female,59.5158900942439
3883,Male,65.3467679097834
1776,Male,73.4948611201265
7800,Female,64.5802071176162
8377,Female,63.4996473404995
8079,Female,70.4231297950142
1402,Male,70.5345782760185
596,Male,65.6675544806922
9735,Female,66.6918800198268
4416,Male,71.8102807633512
5156,Female,62.4070641317515
9040,Female,63.2238036751848
8462,Female,68.3169056442754
8914,Female,61.5012074766309
2476,Male,69.5872800833215
6172,Female,65.1828932404828
5352,Female,62.1960203776221
7629,Female,59.4901983102036
2025,Male,68.0377335547962
5,Male,67.2530156878065
3085,Male,70.6451908139862
9469,Female,68.6859030388057
6382,Female,62.8984140743408
6627,Female,62.5707914645928
8159,Female,64.635679679449
3026,Male,67.3520187546327
8999,Female,63.2962500059043
4073,Male,68.5091491736712
6292,Female,65.7985442654329
313,Male,67.880559193661
9625,Female,58.0321731714629
1992,Male,72.089899249837
5045,Female,67.2438679477325
5362,Female,65.4710910498764
2247,Male,69.7706685472737
828,Male,66.6532337437077
8452,Female,63.7166915247012
8096,Female,62.6250491163806
3236,Male,64.4840241907055
2050,Male,66.4831064273937
7766,Female,64.1852125046744
1441,Male,74.2092159540775
5019,Female,63.0595566947049
8111,Female,62.4440887350453
6998,Female,61.1862590325358
3890,Male,67.0221444834477
6282,Female,61.2664978779032
8679,Female,69.1904359281649
9753,Female,61.2417919647046
4280,Male,68.6713910540146
6049,Female,60.0407793463283
2690,Male,63.2308119997902
7321,Female,68.7319514535088
9788,Female,66.1180127548593
2985,Male,65.7756583112014
7256,Female,63.1550467589118
7420,Female,63.3325826301889
1460,Male,71.0890620694282
8607,Female,65.2700969002921
1680,Male,64.4613458971268
7665,Female,62.325635883769
892,Male,66.3739949336111
6358,Female,63.9132602193041
853,Male,70.6131624145417
2930,Male,72.3633543160283
3663,Male,67.6188455918898
4328,Male,67.9263853240683
7820,Female,64.93426963137
4767,Male,66.3290572591395
5541,Female,63.0841710443907
2790,Male,71.9916433891508
6508,Female,62.2313974453422
7225,Female,61.6886831190551
6440,Female,66.1943499787524
6387,Female,63.4973037194707
6026,Female,66.8956296719244
512,Male,71.1155318413304
9250,Female,62.7785052639
1617,Male,69.2080678412148
2718,Male,67.974679560537
9556,Female,59.5466118155454
3655,Male,66.5215365830075
8221,Female,61.9809224738095
3485,Male,71.7958086347472
958,Male,70.3271164111783
4455,Male,69.3474920063227
9581,Female,65.6364969833215
2000,Male,69.2182049384623
1525,Male,71.0521485106455
793,Male,71.2066187430906
4177,Male,66.0543772240985
9998,Female,69.0342431307346
2165,Male,68.4813088502541
1935,Male,65.2827406626041
1658,Male,66.5028989134252
7508,Female,66.9383452250368
162,Male,72.4896554004081
9682,Female,64.1583371244616
5284,Female,62.6450417377898
2778,Male,73.1196932175068
3585,Male,76.4537196519925
3217,Male,67.1920760790597
8248,Female,60.1791124588638
901,Male,71.2305285617873
1798,Male,72.1735564385227
1760,Male,67.904421608325
151,Male,65.3504105558103
2123,Male,68.4148650588014
8621,Female,61.9337579702405
9512,Female,63.8536836690749
6343,Female,61.3340325087736
6148,Female,64.8425948916241
9056,Female,63.1396148899333
3999,Male,72.3161401866656
5905,Female,65.3415308457202
4909,Male,70.372074455918
5420,Female,64.6426127422204
6844,Female,61.3325812835183
1591,Male,71.6685570532706
8472,Female,63.5047985401421
8674,Female,60.1505224194368
1892,Male,66.6869926987119
4851,Male,67.8845153200526
7922,Female,62.3277807945213
6259,Female,66.2507508327093
7037,Female,61.8356523835951
1556,Male,70.7167503719475
7058,Female,63.7678147266928
6988,Female,62.5145777561098
